                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6579,                    0.5,                      1,                  1.338,             0.00023271,             0.00023271,             0.00023271
                      2,                 2.2682,                0.31667,                      1,                 1.3766,              0.0004676,              0.0004676,              0.0004676
                      3,                  1.821,                    0.4,                      1,                 1.3245,             0.00069936,             0.00069936,             0.00069936
                      4,                 1.5965,                0.46667,                      1,                 1.2474,             0.00069986,             0.00069986,             0.00069986
                      5,                 1.4447,                0.48333,                      1,                 1.2877,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.2468,                0.56667,                      1,                  1.179,             0.00069515,             0.00069515,             0.00069515
                      7,                  1.155,                0.31667,                      1,                 1.3555,             0.00069044,             0.00069044,             0.00069044
                      8,                 1.0038,                0.50833,                      1,                 1.2221,             0.00068573,             0.00068573,             0.00068573
                      9,                0.75667,                0.55833,                      1,                 1.1898,             0.00068101,             0.00068101,             0.00068101
                     10,                0.75639,                0.45833,                      1,                 1.2726,              0.0006763,              0.0006763,              0.0006763
                     11,                0.67999,                0.44167,                      1,                 1.2406,             0.00067159,             0.00067159,             0.00067159
                     12,                0.66161,                0.41667,                      1,                  1.311,             0.00066688,             0.00066688,             0.00066688
                     13,                0.59667,                  0.525,                      1,                 1.2114,             0.00066216,             0.00066216,             0.00066216
                     14,                0.70963,                0.54167,                      1,                 1.1947,             0.00065745,             0.00065745,             0.00065745
                     15,                0.50614,                0.41667,                      1,                 1.3091,             0.00065274,             0.00065274,             0.00065274
                     16,                0.45213,                   0.55,                      1,                 1.1672,             0.00064803,             0.00064803,             0.00064803
                     17,                0.33026,                    0.6,                      1,                 1.1783,             0.00064331,             0.00064331,             0.00064331
                     18,                0.45131,                0.61667,                      1,                 1.1368,              0.0006386,              0.0006386,              0.0006386
                     19,                0.42822,                0.58333,                      1,                 1.1664,             0.00063389,             0.00063389,             0.00063389
                     20,                0.33614,                  0.575,                      1,                 1.1714,             0.00062918,             0.00062918,             0.00062918
                     21,                0.40703,                0.41667,                      1,                  1.265,             0.00062446,             0.00062446,             0.00062446
                     22,                0.22616,                0.44167,                      1,                 1.2854,             0.00061975,             0.00061975,             0.00061975
                     23,                0.25786,                0.45833,                      1,                 1.2529,             0.00061504,             0.00061504,             0.00061504
                     24,                0.22448,                0.59167,                      1,                 1.1522,             0.00061033,             0.00061033,             0.00061033
                     25,                0.31873,                0.48333,                      1,                 1.2504,             0.00060561,             0.00060561,             0.00060561
                     26,                0.20441,                  0.475,                      1,                 1.2773,              0.0006009,              0.0006009,              0.0006009
                     27,                0.24969,                0.49167,                      1,                 1.2509,             0.00059619,             0.00059619,             0.00059619
                     28,                0.24143,                    0.5,                      1,                  1.214,             0.00059148,             0.00059148,             0.00059148
                     29,                0.32537,                0.49167,                      1,                 1.2213,             0.00058677,             0.00058677,             0.00058677
                     30,                0.19927,                  0.525,                      1,                 1.2123,             0.00058205,             0.00058205,             0.00058205
                     31,                0.16692,                  0.575,                      1,                 1.1483,             0.00057734,             0.00057734,             0.00057734
                     32,                0.18706,                  0.475,                      1,                 1.2001,             0.00057263,             0.00057263,             0.00057263
                     33,                0.20495,                0.49167,                      1,                 1.2161,             0.00056792,             0.00056792,             0.00056792
                     34,                0.11328,                0.53333,                      1,                 1.1836,              0.0005632,              0.0005632,              0.0005632
                     35,                0.18047,                  0.475,                      1,                 1.2424,             0.00055849,             0.00055849,             0.00055849
                     36,                 0.1294,                0.56667,                      1,                 1.1909,             0.00055378,             0.00055378,             0.00055378
                     37,                0.11191,                  0.675,                      1,                 1.0879,             0.00054907,             0.00054907,             0.00054907
                     38,                0.21715,                   0.55,                      1,                 1.1919,             0.00054435,             0.00054435,             0.00054435
                     39,                0.10675,                0.54167,                      1,                 1.1792,             0.00053964,             0.00053964,             0.00053964
                     40,                0.15216,                0.56667,                      1,                 1.1365,             0.00053493,             0.00053493,             0.00053493
                     41,                  0.133,                0.60833,                      1,                 1.1371,             0.00053022,             0.00053022,             0.00053022
                     42,                0.07007,                  0.625,                      1,                 1.1057,              0.0005255,              0.0005255,              0.0005255
                     43,                0.16388,                0.55833,                      1,                 1.1637,             0.00052079,             0.00052079,             0.00052079
                     44,                0.11861,                0.60833,                      1,                 1.1158,             0.00051608,             0.00051608,             0.00051608
                     45,                0.05085,                  0.625,                      1,                 1.1001,             0.00051137,             0.00051137,             0.00051137
                     46,                 0.0937,                0.68333,                      1,                 1.0745,             0.00050665,             0.00050665,             0.00050665
                     47,                0.08795,                0.59167,                      1,                  1.135,             0.00050194,             0.00050194,             0.00050194
                     48,                0.05741,                  0.625,                      1,                 1.1081,             0.00049723,             0.00049723,             0.00049723
                     49,                0.08924,                0.59167,                      1,                 1.1351,             0.00049252,             0.00049252,             0.00049252
