                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5642,                0.48333,                      1,                 1.3583,              0.0002345,              0.0002345,              0.0002345
                      2,                 2.2044,                  0.325,                      1,                  1.361,             0.00047063,             0.00047063,             0.00047063
                      3,                 1.8594,                0.54167,                      1,                  1.249,             0.00070487,             0.00070487,             0.00070487
                      4,                 1.5633,                0.44167,                      1,                 1.2618,             0.00070552,             0.00070552,             0.00070552
                      5,                 1.7169,                0.54167,                      1,                 1.2145,             0.00070552,             0.00070552,             0.00070552
                      6,                 1.4569,                0.48333,                      1,                  1.244,             0.00070269,             0.00070269,             0.00070269
                      7,                 1.1566,                  0.375,                      1,                 1.3053,             0.00069986,             0.00069986,             0.00069986
                      8,                 1.0061,                0.51667,                      1,                 1.1949,             0.00069704,             0.00069704,             0.00069704
                      9,                0.99771,                0.45833,                      1,                 1.2585,             0.00069421,             0.00069421,             0.00069421
                     10,                0.90492,                  0.375,                      1,                 1.3192,             0.00069138,             0.00069138,             0.00069138
                     11,                0.86296,                0.49167,                      1,                 1.2129,             0.00068855,             0.00068855,             0.00068855
                     12,                0.73045,                0.43333,                      1,                  1.282,             0.00068573,             0.00068573,             0.00068573
                     13,                 0.6807,                    0.4,                      1,                 1.3389,              0.0006829,              0.0006829,              0.0006829
                     14,                0.67288,                   0.55,                      1,                 1.1926,             0.00068007,             0.00068007,             0.00068007
                     15,                0.62436,                0.54167,                      1,                 1.1792,             0.00067724,             0.00067724,             0.00067724
                     16,                0.43612,                0.40833,                      1,                 1.3007,             0.00067442,             0.00067442,             0.00067442
                     17,                0.55796,                0.36667,                      1,                 1.3546,             0.00067159,             0.00067159,             0.00067159
                     18,                 0.5461,                0.50833,                      1,                 1.2003,             0.00066876,             0.00066876,             0.00066876
                     19,                0.49159,                0.60833,                      1,                 1.1278,             0.00066593,             0.00066593,             0.00066593
                     20,                0.44491,                0.48333,                      1,                 1.2255,             0.00066311,             0.00066311,             0.00066311
                     21,                 0.3556,                0.46667,                      1,                 1.2557,             0.00066028,             0.00066028,             0.00066028
                     22,                0.37858,                0.61667,                      1,                 1.1407,             0.00065745,             0.00065745,             0.00065745
                     23,                0.43253,                0.51667,                      1,                 1.1899,             0.00065462,             0.00065462,             0.00065462
                     24,                0.25967,                0.45833,                      1,                 1.2483,              0.0006518,              0.0006518,              0.0006518
                     25,                0.32375,                0.53333,                      1,                 1.1817,             0.00064897,             0.00064897,             0.00064897
                     26,                0.36575,                0.49167,                      1,                   1.25,             0.00064614,             0.00064614,             0.00064614
                     27,                0.29232,                   0.55,                      1,                  1.182,             0.00064331,             0.00064331,             0.00064331
                     28,                0.25822,                0.54167,                      1,                 1.1851,             0.00064049,             0.00064049,             0.00064049
                     29,                0.30692,                0.51667,                      1,                 1.2114,             0.00063766,             0.00063766,             0.00063766
                     30,                0.29665,                0.50833,                      1,                 1.2147,             0.00063483,             0.00063483,             0.00063483
                     31,                0.18974,                  0.575,                      1,                 1.1895,               0.000632,               0.000632,               0.000632
                     32,                0.26922,                0.50833,                      1,                 1.2341,             0.00062918,             0.00062918,             0.00062918
                     33,                0.25483,                0.55833,                      1,                 1.1683,             0.00062635,             0.00062635,             0.00062635
                     34,                0.19808,                0.55833,                      1,                 1.1737,             0.00062352,             0.00062352,             0.00062352
                     35,                 0.2012,                0.54167,                      1,                 1.1721,             0.00062069,             0.00062069,             0.00062069
                     36,                0.25985,                0.48333,                      1,                 1.2521,             0.00061787,             0.00061787,             0.00061787
                     37,                0.22792,                   0.55,                      1,                 1.1968,             0.00061504,             0.00061504,             0.00061504
                     38,                0.19756,                0.53333,                      1,                 1.1984,             0.00061221,             0.00061221,             0.00061221
                     39,                0.20143,                    0.6,                      1,                 1.1345,             0.00060938,             0.00060938,             0.00060938
                     40,                0.19053,                    0.4,                      1,                 1.3041,             0.00060656,             0.00060656,             0.00060656
                     41,                0.22847,                0.51667,                      1,                 1.2344,             0.00060373,             0.00060373,             0.00060373
                     42,                0.24721,                    0.6,                      1,                 1.1355,              0.0006009,              0.0006009,              0.0006009
                     43,                0.22201,                0.49167,                      1,                 1.2333,             0.00059807,             0.00059807,             0.00059807
                     44,                0.26639,                   0.45,                      1,                 1.2844,             0.00059525,             0.00059525,             0.00059525
                     45,                0.13008,                   0.45,                      1,                 1.2306,             0.00059242,             0.00059242,             0.00059242
                     46,                0.25684,                0.56667,                      1,                 1.1382,             0.00058959,             0.00058959,             0.00058959
